B9M1D1T3,Video_20240820213608378.avi,T00:14:21.800,25862,A,,1,0
B9M1D1T4,Video_20240820213608378.avi,T00:16:05.700,28980,A+E,,1,0
B9M1D1T5,Video_20240820213608378.avi,T00:17:55.700,32281,F+E,,1,0
B9M2D1T1,Video_20240820222021991.avi,T00:11:07.700,20031,,A+E,0,1
B9M2D1T2,Video_20240820222021991.avi,T00:13:32.600,24378,,A+E,0,1
B9M2D1T3,Video_20240820222021991.avi,T00:15:36.000,28080,,A+E,0,1
B9M2D1T4,Video_20240820222021991.avi,T00:18:15.300,32859,,A+E,0,1
B9M2D1T5,Video_20240820222021991.avi,T00:21:01.800,37854,,E,0,1
B10M1D1T1,Video_20240820230212590.avi,T00:10:09.700,18291,A+E,,1,0
B10M1D1T2,Video_20240820230212590.avi,T00:12:18.100,22143,A+E,,1,0
B10M1D1T3,Video_20240820230212590.avi,T00:14:09.100,25473,E,,1,0
B10M1D1T4,Video_20240820230212590.avi,T00:17:31.200,31536,E,,1,0
B10M1D1T5,Video_20240820230212590.avi,T00:24:09.600,43488,A+E,,1,0
B10M2D1T1,Video_20240820234051059.avi,T00:10:58.100,19743,,A,0,1
B10M2D1T2,Video_20240820234051059.avi,T00:13:27.500,24225,,F,0,1
B10M2D1T3,Video_20240820234051059.avi,T00:16:07.000,29010,,E,0,1
B10M2D1T4,Video_20240820234051059.avi,T00:19:04.400,34332,,F+E,0,1
B10M2D1T5,Video_20240820234051059.avi,T00:21:11.500,38145,,F,0,1
B11M1D1T1,Video_20240821001548097.avi,T00:10:06.000,18180,F,,1,0
B11M1D1T2,Video_20240821001548097.avi,T00:12:25.500,22365,F,,1,0
B11M1D1T3,Video_20240821001548097.avi,T00:14:38.800,26364,A+E,,1,0
B11M1D1T4,Video_20240821001548097.avi,T00:16:28.800,29664,F,,1,0
B11M1D1T5,Video_20240821001548097.avi,T00:18:12.600,32778,F+E,,1,0
B11M2D1T1,Video_20240821004731168.avi,T00:12:23.500,22305,,A+E,0,1
B11M2D1T2,Video_20240821004731168.avi,T00:16:27.300,29619,,A+E,0,1
B11M2D1T3,Video_20240821004731168.avi,T00:19:34.600,35238,,A+E,0,1
B11M2D1T4,Video_20240821004731168.avi,T00:23:51.400,42942,,E,0,1
B11M2D1T5,Video_20240821004731168.avi,T00:29:12.900,52587,,A+E,0,1
B12M1D1T1,Video_20240821024325105.avi,T00:14:32.800,26184,F,,1,0
B12M1D1T2,Video_20240821024325105.avi,T00:19:33.000,35190,F,,1,0
B12M1D1T3,Video_20240821024325105.avi,T00:21:23.000,38490,N,,1,0
B12M1D1T4,Video_20240821024325105.avi,T00:24:54.200,44826,A,,1,0
B12M1D1T5,Video_20240821024325105.avi,T00:35:22.100,63663,F,,1,0
B12M2D1T1,Video_20240821033652998.avi,T00:12:16.700,22101,,F,0,1
B12M2D1T2,Video_20240821033652998.avi,T00:14:40.800,26424,,F,0,1
B12M2D1T3,Video_20240821033652998.avi,T00:15:57.700,28731,,F,0,1
B12M2D1T4,Video_20240821033652998.avi,T00:18:40.800,33624,,F,0,1
B12M2D1T5,Video_20240821033652998.avi,T00:21:15.400,38262,,I,0,1
B13M1D1T1,Video_20240821041633645.avi,T00:10:57.800,19734,A,,1,0
B13M1D1T2,Video_20240821041633645.avi,T00:12:03.000,21690,F,,1,0
B13M1D1T3,Video_20240821041633645.avi,T00:16:57.400,30522,F,,1,0
B13M1D1T4,Video_20240821041633645.avi,T00:18:39.000,33570,F,,1,0
B13M1D1T5,Video_20240821041633645.avi,T00:22:05.600,39768,F,,1,0
B13M2D1T1,Video_20240821045124283.avi,T00:10:52.100,19563,,A,0,1
B13M2D1T2,Video_20240821045124283.avi,T00:12:33.400,22602,,F,0,1
B13M2D1T3,Video_20240821045124283.avi,T00:20:14.200,36426,,A+E,0,1
B13M2D1T4,Video_20240821045124283.avi,T00:24:00.500,43215,,F+E,0,1
B13M2D1T5,Video_20240821045124283.avi,T00:27:32.000,49560,,A+E,0,1
B14M1D1T1,Video_20240821053354009.avi,T00:12:01.300,21639,F,,1,0
B14M1D1T2,Video_20240821053354009.avi,T00:13:51.300,24939,F,,1,0
B14M1D1T3,Video_20240821053354009.avi,T00:16:34.233,29826,N,,1,0
B14M1D1T4,Video_20240821053354009.avi,T00:18:39.400,33582,E,,1,0
B14M1D1T5,Video_20240821053354009.avi,T00:21:36.900,38907,F,,1,0
B14M2D1T1,Video_20240821060922927.avi,T00:14:08.100,25443,,E,0,1
B14M2D1T2,Video_20240821060922927.avi,T00:16:00.133,28803,,A+E,0,1
B14M2D1T3,Video_20240821060922927.avi,T00:18:03.033,32490,,E,0,1
B14M2D1T4,Video_20240821060922927.avi,T00:23:38.833,42564,,A+E,0,1
B14M2D1T5,Video_20240821060922927.avi,T00:29:02.533,52275,,E,0,1
B9D2T1,Video_20240821230157875.avi,T00:10:27.700,18831,N,A+E,0,1
B9D2T2,Video_20240821230157875.avi,T00:11:35.533,20865,E,A+E,1,1
B9D2T3,Video_20240821230157875.avi,T00:13:38.733,24561,E,N,1,0
B9D2T4,Video_20240821230157875.avi,T00:15:58.533,28755,A+E,F,0,1
B9D2T5,Video_20240821230157875.avi,T00:18:49.000,33870,E,N,0,1
B9D2T6,Video_20240821230157875.avi,T00:25:04.700,45141,F+E,N,0,1
B9D2T7,Video_20240821230157875.avi,T00:27:25.533,49365,N,F,0,1
B9D2T8,Video_20240821230157875.avi,T00:29:15.200,52656,F+E,N,0,1
B9D2T9,Video_20240821230157875.avi,T00:38:24.966,69148,A+E,N,0,1
B10D2T1,Video_20240821235738008.avi,T00:12:27.433,22422,N,F,0,1
B10D2T2,Video_20240821235738008.avi,T00:15:26.266,27787,A+E,N,1,0
