B_id,total_sniffing_duration_bl_sD,total_sniffing_duration_bl_sS,total_sniffing_duration_bl_pD,total_sniffing_duration_bl_pS,total_sniffing_duration_wr_sD,total_sniffing_duration_wr_sS,total_sniffing_duration_wr_pD,total_sniffing_duration_wr_pS
B1,23.46666666666667,9.555555555555555,9.044444444444443,14.577777777777776,12.277777777777779,20.166666666666664,17.555555555555557,16.388888888888886
B2,20.888888888888893,34.66666666666667,2.977777777777778,25.17777777777778,13.36111111111111,20.138888888888886,9.222222222222221,18.740740740740737
B3,34.31111111111111,29.955555555555563,21.000000000000004,17.933333333333337,18.75,18.138888888888893,28.736111111111114,22.88888888888889
B4,32.244444444444454,12.133333333333335,24.822222222222226,19.711111111111112,18.388888888888886,19.02777777777778,28.48611111111111,17.12962962962963
B5,20.73333333333333,48.11111111111111,5.155555555555556,8.555555555555557,11.861111111111112,8.444444444444443,12.555555555555555,22.87037037037037
B6,25.355555555555554,21.48888888888889,13.199999999999998,4.0,17.72222222222223,15.75925925925926,22.122222222222224,30.73611111111111
B7,47.48888888888889,30.2,21.177777777777777,17.311111111111106,24.988888888888887,29.625,16.833333333333332,17.799999999999997
B8,24.177777777777777,33.13333333333333,22.355555555555554,14.955555555555556,22.68888888888889,17.555555555555554,21.22222222222222,21.333333333333332
B9,20.199999999999992,13.222222222222221,19.555555555555557,26.177777777777784,15.922222222222222,7.533333333333334,4.046296296296297,14.069444444444443
B10,12.977777777777778,22.400000000000002,9.866666666666667,15.777777777777777,6.633333333333335,4.766666666666666,7.484126984126985,2.444444444444444
B11,17.955555555555552,10.933333333333332,13.17777777777778,11.844444444444443,5.044444444444444,6.377777777777778,20.65555555555556,10.32638888888889
B12,9.11111111111111,14.911111111111108,4.8,7.8000000000000025,5.288888888888889,10.902777777777777,5.638888888888889,4.935185185185185
B13,11.02222222222222,9.911111111111111,10.6,8.066666666666666,8.044444444444444,11.555555555555557,4.314814814814816,6.777777777777779
B14,15.755555555555553,11.266666666666667,4.466666666666667,6.800000000000001,7.0444444444444425,8.833333333333332,1.638888888888889,12.398148148148147
B15,25.08888888888889,18.000000000000004,23.600000000000005,5.844444444444444,6.811111111111112,7.645833333333334,14.861111111111109,7.944444444444445
B16,12.244444444444449,23.444444444444443,8.088888888888889,10.422222222222222,14.722222222222223,11.166666666666668,23.444444444444443,22.25555555555556
B17,15.955555555555554,14.666666666666666,14.2,11.911111111111111,7.18888888888889,7.765432098765432,18.444444444444446,19.29365079365079
B18,9.133333333333333,14.422222222222222,8.822222222222223,8.799999999999999,4.513888888888889,13.381944444444443,10.194444444444445,12.576388888888888
B19,33.755555555555546,19.333333333333332,12.933333333333339,9.11111111111111,6.296296296296297,10.5,24.351851851851848,20.4047619047619
B20,28.022222222222233,15.644444444444444,3.9777777777777787,6.51111111111111,4.172839506172839,1.8666666666666667,8.074074074074074,7.0317460317460325
