B_id,nest_D,nest_S,edge_D,edge_S,center_D,center_S
B1,0.3214806111731301,0.7074493840026035,-1.539501770855071,1.8010717270341923,1.0387106251410447,0.8288729483912984
B2,-0.5920472432550938,0.9061235752253198,1.475312450126724,-2.329058753155298,-0.4668210182077619,-1.5169786897809896
B3,-0.07650048425043199,0.5822706071342356,0.3439107090375728,1.0013870339963793,-2.4886800134638367,2.211624038673542
B4,3.2977319955751376,2.960214493504899,2.1385234410441143,2.6163962610266482,-2.522781375741827,-0.6519433387084757
B5,4.282103035846662,3.885351164413179,1.9744741481351458,0.5327180485004126,-2.586993214718709,-7.973808135633615
B6,3.5374685026293076,3.104871455812547,2.5550491470226158,2.4393241435213655,-1.483523776264759,-0.885445742800349
B7,3.1395970199417986,2.8472903701362338,1.7776915359797183,0.8671181513783148,-3.6726248255686524,-5.9411433688024555
B8,4.1795803350474525,2.242727480554854,1.1073348327221622,0.961613018007835,0.2932629885204019,-3.7633834317644297
B9,3.0591009448729354,0.36374075052864363,4.147427451662956,2.0593027808461777,0.662242877391181,-3.71013959915385
B10,1.8008695234069583,2.245005014542466,5.433748960348942,0.2024247812969895,2.1636095026313455,0.9185718639693441
B11,1.1987376242898078,1.7402513400821658,2.614592080175928,1.209915626166004,2.4419865155709726,1.6379762755890468
B12,2.5511341004128116,-1.684434016234964,5.095495978956502,5.586641960591685,2.4818033910381363,2.6559420602544517
B13,-0.39949520795942384,3.6180630214640157,2.7529289799805916,2.415230200565544,-0.43252812257194506,5.472193716644169
B14,1.8792284062565852,-0.3760634680500585,1.3251196921342467,3.901421282211878,3.269325784511823,-0.8817390265310081
B15,3.327473636098633,1.5524032526896159,5.3267353975786405,1.3123929422088318,3.6509454226910663,-0.8932569034937501
B16,2.3794348043900113,3.857201078744505,3.7622364685208094,4.3620144853944645,-2.491672081609101,2.9853039404990867
B17,3.2953464802948016,2.646549995388021,5.729592990299832,5.5269283846166175,2.0682553023161496,2.144957200773998
B18,6.4966878397328,3.3974817951545226,6.275599038751635,7.151755829154777,1.8901093240354232,-0.010056708062956332
B19,3.9581084070351826,3.552053712142157,4.602866594086804,3.631148195927989,0.30526366959109197,-3.6600311402806955
B20,4.35712283450042,4.867837593258502,3.0810666584379414,5.64723231598373,2.4606825684623814,5.948652856369409
