metric,real,random,difference,p_value
Mean,0.16133333333333333,0.0284,0.13293333333333332,0.04295704295704296
Median,0.0,0.0,0.0,0.998001998001998
Std,0.493214400078145,0.38812096625207515,,
N,25.0,1000.0,,
