B_id,nest_D,nest_S,edge_D,edge_S,center_D,center_S
B1,4.899999999999999,-5.855555555555554,0.7777777777777715,10.138888888888893,-5.677777777777781,-4.283333333333335
B2,34.8,4.288888888888884,-26.483333333333334,-1.18888888888889,-8.316666666666666,-3.1000000000000014
B3,15.722222222222221,20.488888888888884,-10.06666666666667,-11.100000000000001,-5.655555555555557,-9.388888888888893
B4,-6.93333333333333,2.9611111111111157,-0.8388888888888957,-2.144444444444453,7.772222222222222,-0.8166666666666629
B5,-8.561111111111117,5.927777777777777,12.466666666666669,-5.9055555555555586,-3.905555555555557,-0.022222222222222143
B6,10.983333333333334,14.13333333333333,-11.266666666666659,-2.244444444444447,0.283333333333335,-11.888888888888893
B7,11.338888888888896,19.511111111111113,-12.888888888888886,-18.3888888888889,1.549999999999999,-1.1222222222222218
B8,-15.877777777777776,0.8277777777777757,7.350000000000001,-4.733333333333334,8.527777777777779,3.9055555555555532
B9,13.016666666666662,18.244444444444447,6.6555555555555515,-18.822222222222223,-19.672222222222224,0.5777777777777793
B10,-3.19444444444445,2.5722222222222264,1.2277777777777743,-0.17777777777777715,1.9666666666666668,-2.394444444444442
B11,17.233333333333334,-8.811111111111114,-4.927777777777777,11.600000000000001,-12.305555555555555,-2.788888888888888
B12,2.461111111111112,9.98888888888889,-6.5,-21.766666666666666,4.038888888888888,11.777777777777779
B13,-10.183333333333334,-9.833333333333332,17.78333333333334,28.250000000000014,-7.600000000000001,-18.416666666666664
B14,-10.69444444444445,26.116666666666664,13.400000000000006,-22.705555555555556,-2.705555555555554,-3.411111111111113
B15,1.155555555555555,-5.811111111111117,-1.3888888888888857,-3.9833333333333343,0.23333333333333428,9.794444444444444
B16,4.272222222222226,-5.444444444444439,-10.62222222222222,4.111111111111114,6.350000000000001,1.3333333333333286
B17,9.355555555555556,2.2777777777777786,-16.8611111111111,0.7777777777777715,7.505555555555555,-3.055555555555557
B18,-27.633333333333333,-4.5,22.85555555555556,-7.611111111111114,4.777777777777779,12.11111111111111
B19,-9.755555555555553,-24.544444444444444,1.62222222222222,10.805555555555557,8.133333333333335,13.738888888888887
B20,13.211111111111109,-0.40555555555555145,-10.888888888888886,12.533333333333339,-2.322222222222221,-12.127777777777776
