,sD_1,sD_2,sD_3,sD_4,sD_5,sD_6,sD_7,sD_8,sD_9,sD_10,sD_11,sD_12,sD_13,sD_14,sD_15,sD_16,sD_17,sD_18,sD_19,sD_20,sS_1,sS_2,sS_3,sS_4,sS_5,sS_6,sS_7,sS_8,sS_9,sS_10,sS_11,sS_12,sS_13,sS_14,sS_15,sS_16,sS_17,sS_18,sS_19,sS_20,pD_1,pD_2,pD_3,pD_4,pD_5,pD_6,pD_7,pD_8,pD_9,pD_10,pD_11,pD_12,pD_13,pD_14,pD_15,pD_16,pD_17,pD_18,pD_19,pD_20,pS_1,pS_2,pS_3,pS_4,pS_5,pS_6,pS_7,pS_8,pS_9,pS_10,pS_11,pS_12,pS_13,pS_14,pS_15,pS_16,pS_17,pS_18,pS_19,pS_20
baseline,5.2,3.2222222222222228,0.2222222222222222,1.955555555555556,3.2,1.2666666666666666,1.6666666666666667,9.955555555555556,11.4,2.2666666666666666,3.2444444444444445,1.9777777777777779,7.3999999999999995,1.0222222222222221,21.48888888888889,2.8888888888888893,9.488888888888889,9.777777777777777,1.288888888888889,3.3999999999999995,1.3777777777777775,3.9555555555555557,2.3777777777777778,1.6222222222222225,0.0,5.51111111111111,2.111111111111111,2.444444444444444,5.933333333333334,1.0888888888888888,5.822222222222223,4.044444444444445,6.244444444444444,5.377777777777778,2.3777777777777778,2.022222222222222,17.711111111111112,32.266666666666666,10.755555555555556,15.555555555555555,3.844444444444445,0.0,2.3111111111111113,1.6666666666666667,0.3111111111111111,1.0222222222222221,1.6888888888888887,1.1333333333333333,2.4,0.0,0.0,1.1111111111111112,11.97777777777778,0.0,1.8666666666666665,0.8,0.4444444444444444,4.688888888888889,2.0,1.955555555555556,3.266666666666667,3.2444444444444445,5.2444444444444445,4.377777777777777,1.0444444444444443,0.0,0.688888888888889,0.0,0.24444444444444444,0.0,5.0888888888888895,2.1999999999999997,3.4666666666666663,9.71111111111111,4.311111111111111,2.155555555555556,1.3555555555555554,0.0,3.177777777777778,6.111111111111111
0-5s,34.0,0.0,36.666666666666664,9.333333333333334,0.0,0.0,13.333333333333336,9.6,3.1999999999999993,13.73333333333333,0.0,43.2,15.599999999999998,0.8,1.866666666666667,15.42857142857143,2.4,27.500000000000004,20.666666666666664,1.7037037037037037,1.3333333333333333,16.0,20.999999999999996,10.333333333333332,3.3333333333333335,15.555555555555555,24.166666666666664,19.333333333333336,0.5333333333333333,0.5333333333333333,17.466666666666665,10.333333333333332,31.2,0.0,0.0,2.0952380952380953,0.5185185185185185,33.166666666666664,11.333333333333332,0.0,0.0,3.3333333333333335,21.833333333333336,5.500000000000001,10.166666666666666,6.666666666666668,0.8888888888888888,3.166666666666666,1.8888888888888888,20.0,18.4,19.166666666666664,22.44444444444445,3.3333333333333335,1.6666666666666667,10.666666666666668,7.666666666666666,20.0,30.22222222222222,6.444444444444445,0.0,1.3333333333333333,10.222222222222221,1.9999999999999998,13.555555555555554,1.5000000000000002,16.4,2.8888888888888893,4.833333333333333,2.2222222222222223,24.0,28.222222222222214,22.77777777777778,23.111111111111114,3.333333333333334,8.133333333333333,4.571428571428571,18.333333333333332,4.095238095238095,0.47619047619047616
5-20s,5.333333333333334,0.0,0.0,1.0,4.888888888888889,11.88888888888889,0.3111111111111111,1.8666666666666665,17.91111111111111,0.711111111111111,4.0888888888888895,25.68888888888889,29.066666666666663,1.0666666666666667,7.51111111111111,9.428571428571429,7.6,21.666666666666668,4.518518518518518,8.37037037037037,6.444444444444445,0.0,0.0,2.333333333333333,0.0,6.666666666666667,3.5555555555555554,3.8666666666666663,7.466666666666666,0.0,7.955555555555556,12.722222222222223,8.844444444444445,2.555555555555556,1.8333333333333333,2.4126984126984126,0.0,22.11111111111111,4.222222222222222,0.0,3.5555555555555554,0.0,15.666666666666668,1.0555555555555556,1.7777777777777777,1.377777777777778,7.629629629629631,2.388888888888889,2.7407407407407414,8.603174603174605,2.2666666666666666,8.166666666666668,36.851851851851855,0.0,3.259259259259259,7.199999999999999,9.592592592592593,6.296296296296296,1.3333333333333333,13.925925925925927,0.0,0.5185185185185185,0.0,5.9259259259259265,0.0,5.111111111111112,10.311111111111112,4.148148148148148,1.111111111111111,6.814814814814814,4.277777777777778,13.851851851851855,4.555555555555555,8.814814814814815,5.333333333333334,0.9777777777777777,18.984126984126984,9.722222222222223,9.968253968253967,1.7777777777777777
20-60s,3.3333333333333335,0.7916666666666665,1.0416666666666667,0.5416666666666667,7.041666666666665,12.5,3.5500000000000003,4.45,16.75,1.2833333333333332,1.7666666666666668,20.483333333333334,30.46666666666667,2.1333333333333337,2.7416666666666667,9.55952380952381,7.966666666666667,6.416666666666666,1.9444444444444444,6.490740740740741,0.0,3.916666666666667,2.6250000000000004,2.291666666666666,0.0,5.666666666666666,4.166666666666666,9.350000000000001,6.166666666666667,3.9666666666666663,12.3,3.6458333333333335,12.883333333333333,13.520833333333332,4.604166666666667,9.13095238095238,12.796296296296294,19.21875,1.7083333333333333,17.53333333333333,0.6666666666666666,0.0,0.0,0.3125,1.7708333333333333,1.2833333333333332,2.3888888888888884,4.25,11.347222222222223,7.8809523809523805,3.6500000000000004,11.770833333333334,25.34722222222222,0.0,4.208333333333333,1.1166666666666667,2.111111111111111,7.180555555555555,3.5833333333333344,5.1111111111111125,2.25,11.472222222222221,1.7777777777777777,3.916666666666667,0.9999999999999999,1.7499999999999998,4.75,2.777777777777778,1.5208333333333335,3.7777777777777777,3.4375000000000004,9.541666666666664,8.486111111111109,6.513888888888888,4.208333333333333,3.733333333333334,12.916666666666664,8.947916666666666,2.595238095238095,3.9285714285714293
