category,count
natural_end_D,90
natural_end_S,107
partner_AP_offset_D,2
partner_AP_offset_S,1
partner_SP_onset_D,3
partner_SP_onset_S,3
co_freezing_D,16
co_freezing_S,18
all_freezing_D,108
all_freezing_S,127
