B_id,nest_D,nest_S,edge_D,edge_S,center_D,center_S
B1,42.45833333333334,-32.49999999999999,-19.916666666666668,43.54166666666666,-22.541666666666668,-11.041666666666664
B2,-33.66666666666667,41.91666666666666,32.5,-42.29166666666667,1.166666666666666,0.375
B3,34.625,14.958333333333329,-25.166666666666668,-4.25,-9.458333333333332,-10.708333333333332
B4,10.291666666666664,5.291666666666668,-7.833333333333336,10.833333333333336,-2.458333333333332,-16.125
B5,-5.541666666666671,2.25,4.874999999999993,-25.333333333333336,0.6666666666666679,23.08333333333333
B6,-4.361111111111107,-4.020833333333343,6.388888888888879,5.333333333333336,-2.027777777777775,-1.3125
B7,3.5333333333333314,-0.9166666666666785,-5.183333333333323,3.04999999999999,1.6500000000000021,-2.1333333333333346
B8,21.883333333333333,5.56666666666667,-16.049999999999997,-15.383333333333319,-5.833333333333336,9.81666666666667
B9,22.4,53.58333333333334,-8.316666666666666,-44.08333333333333,-14.083333333333336,-9.499999999999996
B10,-22.1,-45.233333333333334,18.15,37.900000000000006,3.9499999999999993,7.333333333333332
B11,-43.866666666666674,-7.100000000000001,38.93333333333334,7.600000000000001,4.933333333333332,-0.5
B12,-1.4333333333333336,4.233333333333334,-12.566666666666663,-23.066666666666684,14.0,18.833333333333332
B13,-6.166666666666666,-21.599999999999998,-0.6666666666666714,11.633333333333326,6.833333333333332,9.966666666666665
B14,-3.1666666666666856,17.450000000000003,3.2333333333333307,-17.4,-0.06666666666666554,-0.05000000000000071
B15,-17.94166666666667,-33.66666666666666,12.433333333333337,21.697916666666668,5.508333333333333,11.968750000000002
B16,-2.84375,-19.357142857142847,-5.479166666666657,5.857142857142858,8.322916666666668,13.500000000000002
B17,-0.23333333333333073,-32.64814814814814,-5.599999999999987,16.17592592592593,5.833333333333332,16.47222222222222
B18,-28.54166666666667,-1.8229166666666643,8.416666666666657,5.260416666666664,20.125000000000004,-3.4374999999999964
B19,-23.866666666666667,-32.666666666666664,17.18333333333333,23.791666666666664,6.683333333333334,8.875
B20,-18.525000000000013,0.43333333333333,6.374999999999993,4.0,12.150000000000002,-4.433333333333335
