D_id,near_D,near_S,middle_D,middle_S,far_D,far_S
D1,1.083626600202007,0.5363872493306454,3.2794923933177573,0.6647810650032753,0.9024040466060328,0.7283924234282146
D2,0.4846621480992641,-1.2280039395600268,0.22591338057258614,1.3124084915607277,0.8696595566194034,2.105629639023001
D3,-0.8126187079902438,1.3283580331362783,-1.6801382034127554,1.6783104023999167,2.1473003718892523,1.2320807421450128
D4,2.653329550100682,-3.4064497842932213,0.4107936141074373,-0.296844245270929,0.6814212610757604,1.6240192631856925
D5,-0.48923256440104534,-2.7349976547317207,2.7653538980055137,-1.8652830783959367,1.4101950438622322,0.8767165276081692
D6,-0.5010567039203928,-1.1879407558706219,2.9562327742561005,4.482190146430083,1.3793622036059552,1.5360099255545365
D7,1.7621301703238417,1.2176785261974397,2.422238594409499,2.2693842431076114,2.209745173449292,0.8675243758222693
D8,0.8968971966032937,0.42278446718284357,-1.1431354672741492,-1.6694966085007952,1.6252787606611738,1.4892303163575145
D9,1.165917555832631,0.12958352181337318,1.4884179433232312,2.074299689323528,0.7088807239436212,0.7896942280738464
D10,1.1100294129090287,2.5039488124611307,2.1381642962551624,-2.0519158070411985,2.1034340286241524,2.4074616583218322
D11,0.6837910657991659,2.2655565038595284,2.1202791271440695,2.6770697482063697,0.9973104179915646,1.4297194912108453
