metric,real,random,difference,p_value
Mean,0.9,0.03593333333333333,0.8640666666666666,0.000999000999000999
Median,0.9333333333333333,0.0,0.9333333333333333,0.000999000999000999
Std,0.08164965809277262,0.45428076976444626,,
N,4.0,1000.0,,
