metric,real,random,difference,p_value
Mean,-0.05392156862745099,0.0341,-0.08802156862745099,0.8571428571428571
Median,0.0,0.0,0.0,0.951048951048951
Std,0.3977070477239549,0.46145960579207557,,
N,34.0,1000.0,,
