D_id,rank,near_speed,middle_speed,far_speed
D1,MD,3.0664363480899306,3.1185541015388987,1.147133098497551
D2,MD,3.5378907482293926,4.877616274093985,2.4631783302878083
D3,MD,4.136467229957839,6.427050368459134,2.8031192414943282
D4,MD,2.3105783083857694,3.983740292448975,1.2830290508776494
D5,MD,6.29564539934192,3.3812497680984874,1.360200562864405
D6,MD,3.547421999485521,3.1588144959610225,1.3356423657005325
D7,MD,3.5492741180262297,3.1203763110656673,1.358426627656556
D8,MD,4.310265761311067,5.679854556852844,1.1447537454145524
D9,MD,4.221740872279714,3.7959165383942874,1.3927616585229456
D10,MD,2.764480839425805,3.975818680356608,2.3825370292387427
D11,MD,2.3878943345264982,6.1114450882523546,2.094997695612955
D1,MS,6.1835551548904,3.5669242674583232,1.1322272612775837
D2,MS,4.828356125555925,7.0807935755386,2.5330051866821117
D3,MS,5.0563750120169075,5.33121221705239,1.2752121324158456
D4,MS,6.234025920780884,3.874425536281253,0.9774065368156628
D5,MS,5.256763666498971,7.351828778970722,1.3751064898194434
D6,MS,4.4334436325018896,2.7463579125735986,1.012539852781566
D7,MS,4.402440579277872,3.491606965990844,0.9544413821390403
D8,MS,5.472407720254621,8.27097397316055,1.7153981196391812
D9,MS,4.976777750586152,4.6918294179747475,2.0108316191343056
D10,MS,4.404761489324235,7.805929859543581,1.333057710197935
D11,MS,1.9296002598708097,3.2951360130395906,0.6230344087426061
