metric,real,random,difference,p_value
Mean,0.11228070175438598,0.0284,0.08388070175438597,0.16983016983016982
Median,0.0,0.0,0.0,0.997002997002997
Std,0.3696387562139744,0.38812096625207515,,
N,19.0,1000.0,,
