metric,real,random,difference,p_value
Mean,0.13490319204604917,0.04426666666666666,0.09063652537938251,0.000999000999000999
Median,0.0,0.0,0.0,1.0
Std,0.5202553196655039,0.48858800640212197,,
N,637.0,1000.0,,
