metric,real,random,difference,p_value
Mean,0.022222222222222237,0.0284,-0.006177777777777765,0.4945054945054945
Median,0.0,0.0,0.0,0.9560439560439561
Std,0.27227890566317436,0.38812096625207515,,
N,12.0,1000.0,,
