B_id,_blD,_blS,_plD,_plS
B1,1.9777777777777776,1.1666666666666667,1.277777777777778,
B2,0.1,4.377777777777778,,5.233333333333333
B3,1.2523809523809522,2.175,0.726190476190476,2.4499999999999997
B4,0.7095238095238096,1.3285714285714285,0.9738888888888889,2.5666666666666664
B5,0.8666666666666667,0.4333333333333333,0.6920833333333334,0.7981481481481482
B6,1.2277777777777776,0.75,1.062,0.8430555555555557
B7,0.8444444444444444,0.9833333333333334,1.065185185185185,1.111111111111111
B8,1.4333333333333333,1.627777777777778,1.5944444444444446,1.4291666666666667
B9,0.7333333333333333,0.85,2.694074074074074,0.8833333333333333
B10,1.0633333333333332,1.1533333333333333,0.9902777777777779,0.95
B11,1.2533333333333334,1.075,0.5166666666666666,1.4666666666666666
B12,1.2833333333333332,2.086666666666667,0.7333333333333334,3.014814814814815
B13,1.7,1.9666666666666666,0.7944444444444445,4.188888888888889
B14,1.4333333333333333,1.8466666666666665,,4.366666666666667
B15,1.783333333333333,0.7428571428571429,1.020138888888889,0.43333333333333335
B16,0.5666666666666668,0.8833333333333334,0.7697777777777779,2.9833333333333334
B17,1.8555555555555554,1.56,1.8361111111111112,0.26666666666666666
B18,0.75,1.2066666666666668,0.8871111111111112,1.3347222222222221
B19,1.5629629629629629,0.8619047619047618,0.9833333333333334,1.7555555555555555
B20,0.96,1.4466666666666665,1.1833333333333331,2.6333333333333333
