B_id,withdrawal_speed_sD,withdrawal_speed_sS,withdrawal_speed_pD,withdrawal_speed_pS
D1,10.993375932258898,9.508160017442568,19.140842818899518,13.132733773005873
D2,9.152600791475157,20.280976694518856,14.765279808484514,13.878873379094836
D3,11.162717081370651,12.13281295990805,9.205985486745508,13.144003999096764
D4,16.542680398816437,17.447051335258976,9.89392061724693,6.037822443222944
D5,14.590244904353321,9.996236303453887,12.954794983351004,9.58908182444046
D6,21.781290936363945,18.53741688855485,21.322033521268263,13.781069162732587
D7,21.781290936363945,13.695725673117174,13.166612512561803,17.006828724127306
D8,15.531049692354664,14.06620744394671,7.265116777898469,20.179246221188883
D9,21.84336646825466,10.445999524130878,14.788340745879085,14.762392197446006
D10,8.62929557993179,13.841077020549681,13.231054531270344,14.264234116644415
D11,22.339636254365765,3.266491768377943,13.0945769584657,16.197777791475694
