B_id,_blD,_blS,_wrD,_wrS
D1,1.561904761904762,0.8,4.177777777777778,6.5
D2,0.5958333333333333,1.0000000000000002,1.2490196078431373,2.596969696969697
D3,1.1083333333333332,1.6386666666666667,1.6962962962962964,3.4266666666666667
D4,0.82,1.0037037037037038,2.5916666666666663,7.7
D5,0.5166666666666667,0.6242424242424242,6.582051282051282,1.6555555555555557
D6,1.5090909090909093,0.7888888888888889,2.02,2.0261904761904765
D7,1.1701754385964915,1.280392156862745,1.5431372549019609,1.0111111111111113
D8,0.9190476190476191,1.2705882352941176,2.2939393939393935,1.6785714285714286
D9,0.9684210526315791,0.6130434782608695,2.0757575757575757,3.6527777777777772
D10,0.38095238095238093,0.7454545454545454,1.8033333333333332,0.9666666666666667
D11,0.7058823529411765,1.0568627450980392,1.948148148148148,12.144444444444444
