,sD_1,sD_2,sD_3,sD_4,sD_5,sD_6,sD_7,sD_8,sD_9,sD_10,sD_11,sD_12,sD_13,sD_14,sD_15,sD_16,sD_17,sD_18,sD_19,sD_20,sS_1,sS_2,sS_3,sS_4,sS_5,sS_6,sS_7,sS_8,sS_9,sS_10,sS_11,sS_12,sS_13,sS_14,sS_15,sS_16,sS_17,sS_18,sS_19,sS_20,pD_1,pD_2,pD_3,pD_4,pD_5,pD_6,pD_7,pD_8,pD_9,pD_10,pD_11,pD_12,pD_13,pD_14,pD_15,pD_16,pD_17,pD_18,pD_19,pD_20,pS_1,pS_2,pS_3,pS_4,pS_5,pS_6,pS_7,pS_8,pS_9,pS_10,pS_11,pS_12,pS_13,pS_14,pS_15,pS_16,pS_17,pS_18,pS_19,pS_20
baseline,0.0,7.044444444444445,15.377777777777776,3.6222222222222227,50.0,8.0,0.0,6.755555555555555,0.0,0.711111111111111,0.0,15.399999999999997,1.1777777777777778,0.0,2.888888888888889,5.088888888888889,1.222222222222222,20.48888888888889,6.311111111111112,22.577777777777776,23.866666666666664,6.200000000000001,9.977777777777778,5.6000000000000005,0.0,0.0,1.8222222222222224,0.0,8.288888888888888,0.0,5.177777777777778,3.733333333333334,7.3999999999999995,2.977777777777778,1.2,0.0,0.0,11.888888888888888,0.0,10.155555555555555,1.0222222222222224,42.15555555555556,0.6,0.6,41.66666666666667,0.0,0.0,0.0,0.8444444444444443,13.28888888888889,0.0,0.4444444444444444,2.666666666666667,19.53333333333333,0.0,0.2666666666666667,4.888888888888888,0.33333333333333337,0.0,11.888888888888891,16.866666666666667,2.3555555555555556,0.0,0.0,10.4,13.222222222222225,0.0,12.355555555555558,0.0,0.0,7.422222222222222,12.266666666666666,0.0,12.244444444444445,0.0,0.0,5.777777777777778,1.2,0.8,7.688888888888888
0-5s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.866666666666666,0.4,1.0666666666666667,0.8,0.0,3.0,0.47619047619047616,0.0,2.3333333333333335,0.0,5.703703703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333332,2.4761904761904763,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1904761904761907,0.0,0.0,3.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5555555555555554,0.0,0.0,0.0,0.0,0.38095238095238093,0.0
5-20s,0.0,0.0,0.0,0.0,0.0,6.88888888888889,9.288888888888888,16.044444444444444,3.5555555555555554,0.0,16.53333333333333,1.1555555555555557,1.6444444444444446,0.0,16.0,8.0,0.0,13.722222222222221,31.333333333333336,18.345679012345677,0.0,0.0,0.0,0.0,5.666666666666666,30.814814814814817,0.0,0.0,1.2,0.0,0.0,1.3333333333333335,0.0,0.0,39.694444444444436,8.761904761904763,18.370370370370367,19.88888888888889,23.777777777777775,0.0,0.0,0.0,2.333333333333333,1.8333333333333333,0.0,7.955555555555556,0.0,0.0,10.777777777777777,14.317460317460318,4.133333333333333,0.0,0.0,0.0,9.88888888888889,1.4666666666666668,0.0,4.37037037037037,0.6666666666666666,0.0,0.0,25.25925925925926,0.0,10.37037037037037,0.0,1.8888888888888888,4.622222222222223,0.0,4.500000000000001,31.851851851851855,0.27777777777777773,0.5185185185185185,0.37037037037037035,2.6666666666666665,0.0,16.177777777777777,0.0,0.0,14.793650793650794,0.6984126984126984
20-60s,38.75,0.0,1.0,0.0,15.833333333333332,0.0,10.483333333333334,7.416666666666666,1.3833333333333333,9.95,22.71666666666667,13.333333333333336,5.233333333333334,0.0,16.099999999999998,19.21428571428571,0.0,40.70833333333333,28.666666666666668,25.75925925925926,0.0,0.0,0.6666666666666666,1.1666666666666667,17.583333333333336,24.83333333333333,0.6458333333333334,5.2,1.0499999999999998,3.1,0.0,1.3750000000000002,1.3166666666666669,1.5416666666666667,35.17708333333333,20.047619047619047,25.101851851851848,10.593749999999998,40.416666666666664,0.1,0.0,0.5833333333333334,6.729166666666667,3.4583333333333335,1.6458333333333333,8.45,0.8055555555555556,0.8541666666666666,15.34722222222222,17.202380952380953,8.8,0.0,11.708333333333332,24.874999999999996,1.6666666666666667,1.4333333333333331,7.61111111111111,1.513888888888889,11.416666666666666,0.0,0.0,8.277777777777779,17.944444444444446,21.611111111111107,5.861111111111112,1.7083333333333333,0.75,0.0,0.0,9.86111111111111,0.9270833333333334,0.8194444444444445,6.0,4.5694444444444455,9.145833333333334,0.15,4.273809523809525,3.2187499999999996,4.154761904761904,5.940476190476191
