edge_width_cm,edge_pct,trans_bouts
0.0,0.0,0.0
21.76,0.0,0.0
43.52,0.032916666666666664,0.6
65.28,3.684444444444445,38.325
87.04,15.532916666666665,107.975
108.80000000000001,30.567500000000003,118.85
130.56,40.202083333333334,96.325
152.32000000000002,46.35944444444444,74.55
174.08,49.73944444444445,62.25
195.84,52.28958333333334,54.95
217.60000000000002,54.25500000000001,50.525
239.36,56.07513888888889,48.15
261.12,57.907916666666665,45.95
282.88,59.58541666666666,43.15
304.64000000000004,61.29055555555556,39.8
326.40000000000003,62.76930555555556,37.475
348.16,64.44527777777778,39.45
369.92,66.1536111111111,39.325
391.68,67.65708333333333,31.875
413.44000000000005,68.74694444444444,20.725
435.20000000000005,69.47722222222221,14.725
456.96000000000004,69.88513888888889,10.35
478.72,70.1725,7.275
500.48,70.37138888888889,2.925
522.24,70.4725,0.5
544.0,70.50458333333333,0.0
