,self-grooming,grooming-received,grooming-given
sD,12.82742724867725,0.0,0.0
pD,6.205049603174603,1.3477182539682542,0.11875
sS,9.495806878306876,0.0,0.0
pS,5.2606746031746034,0.11875,1.3477182539682542
