B_id,total_freezing_duration_sD,total_freezing_duration_sS,total_freezing_duration_pD,total_freezing_duration_pS
D1,135.90000000000003,102.79999999999994,101.06666666666665,130.6333333333333
D2,50.30000000000001,46.99999999999999,25.299999999999994,9.233333333333333
D3,48.566666666666684,102.16666666666669,14.2,69.26666666666668
D4,62.3,106.46666666666671,68.79999999999998,44.06666666666666
D5,86.56666666666666,64.53333333333335,103.53333333333336,121.36666666666666
D6,60.599999999999994,110.10000000000001,40.06666666666667,65.63333333333333
D7,53.96666666666667,115.66666666666667,24.133333333333336,90.50000000000001
D8,145.50000000000003,68.23333333333333,33.73333333333333,23.0
D9,93.53333333333333,69.83333333333336,75.63333333333333,58.299999999999976
D10,27.366666666666664,139.93333333333334,26.233333333333338,50.833333333333336
D11,86.36666666666666,181.96666666666664,39.80000000000001,125.90000000000002
