group,trial_id,timepoint,before,after,difference
random,D10MS,7285.0,1.0,1.0,0.0
random,D11MD,9.0,0.26666666666666666,1.0,-0.7333333333333334
random,D6MS,6764.0,1.0,1.0,0.0
random,D6MS,3719.0,1.0,1.0,0.0
random,D10MS,7121.0,1.0,1.0,0.0
random,D10MS,8435.0,1.0,1.0,0.0
random,D2MD,2530.0,0.6,0.0,0.6
random,D3MD,5179.0,0.7666666666666667,0.03333333333333333,0.7333333333333334
random,D10MS,7870.0,1.0,0.6333333333333333,0.3666666666666667
random,D3MS,6356.0,1.0,1.0,0.0
random,D6MS,4592.0,0.7333333333333333,1.0,-0.2666666666666667
random,D11MS,3493.0,1.0,1.0,0.0
random,D10MS,2247.0,1.0,0.3,0.7
random,D4MS,365.0,0.03333333333333333,0.8,-0.7666666666666667
random,D2MS,6267.0,0.8666666666666667,0.4666666666666667,0.4
random,D3MD,4558.0,0.3333333333333333,1.0,-0.6666666666666667
random,D10MS,697.0,0.7,0.6333333333333333,0.06666666666666665
random,D4MS,1733.0,1.0,1.0,0.0
random,D3MS,7462.0,1.0,1.0,0.0
random,D11MS,2839.0,1.0,1.0,0.0
random,D10MS,2361.0,0.7333333333333333,0.0,0.7333333333333333
random,D10MS,3137.0,1.0,1.0,0.0
random,D10MS,8535.0,1.0,1.0,0.0
random,D6MS,2274.0,1.0,1.0,0.0
random,D4MS,6063.0,1.0,1.0,0.0
random,D2MD,282.0,0.03333333333333333,0.5,-0.4666666666666667
random,D2MD,3864.0,1.0,1.0,0.0
random,D3MD,4578.0,1.0,1.0,0.0
random,D3MS,6344.0,1.0,1.0,0.0
random,D11MS,8472.0,1.0,1.0,0.0
random,D10MS,1967.0,1.0,1.0,0.0
random,D5MD,5154.0,0.2,1.0,-0.8
random,D10MS,8770.0,1.0,1.0,0.0
random,D11MS,4987.0,1.0,1.0,0.0
random,D2MD,6246.0,0.6333333333333333,1.0,-0.3666666666666667
random,D11MS,3500.0,1.0,1.0,0.0
random,D2MD,2242.0,0.7,0.03333333333333333,0.6666666666666666
random,D11MS,5546.0,1.0,1.0,0.0
random,D5MD,7069.0,0.3,0.3333333333333333,-0.033333333333333326
random,D10MS,6313.0,0.9666666666666667,1.0,-0.033333333333333326
random,D6MS,3807.0,1.0,1.0,0.0
random,D2MS,8491.0,0.23333333333333334,1.0,-0.7666666666666666
random,D10MS,6905.0,1.0,0.9,0.09999999999999998
random,D4MS,1946.0,1.0,1.0,0.0
random,D7MS,3906.0,0.16666666666666666,1.0,-0.8333333333333334
random,D3MS,8068.0,0.5666666666666667,0.0,0.5666666666666667
random,D11MS,3655.0,1.0,0.6666666666666666,0.33333333333333337
random,D9MD,6056.0,0.7333333333333333,0.3333333333333333,0.39999999999999997
random,D4MD,8859.0,1.0,1.0,0.0
random,D10MS,8662.0,1.0,1.0,0.0
random,D3MS,2257.0,0.16666666666666666,1.0,-0.8333333333333334
random,D10MS,8588.0,1.0,1.0,0.0
random,D10MS,2016.0,1.0,1.0,0.0
random,D4MD,8680.0,1.0,0.5,0.5
random,D6MD,1757.0,0.36666666666666664,1.0,-0.6333333333333333
random,D1MS,5258.0,0.8,0.5,0.30000000000000004
random,D10MS,7186.0,1.0,1.0,0.0
random,D6MS,3667.0,0.1,1.0,-0.9
random,D4MD,8277.0,1.0,1.0,0.0
random,D11MS,3699.0,0.9666666666666667,0.0,0.9666666666666667
random,D5MS,2780.0,0.6,0.13333333333333333,0.4666666666666667
random,D4MS,3180.0,1.0,1.0,0.0
random,D4MD,6696.0,1.0,0.4666666666666667,0.5333333333333333
random,D2MD,289.0,0.26666666666666666,0.26666666666666666,0.0
random,D10MS,5934.0,1.0,1.0,0.0
random,D6MS,3722.0,1.0,1.0,0.0
random,D11MS,2535.0,1.0,1.0,0.0
random,D2MS,1293.0,1.0,0.9333333333333333,0.06666666666666665
random,D2MS,3093.0,0.03333333333333333,0.4,-0.3666666666666667
random,D2MD,7951.0,1.0,0.5333333333333333,0.4666666666666667
random,D10MS,8345.0,1.0,1.0,0.0
random,D3MD,7619.0,0.43333333333333335,0.36666666666666664,0.06666666666666671
random,D10MS,8801.0,1.0,1.0,0.0
random,D1MS,4937.0,0.7,0.16666666666666666,0.5333333333333333
random,D2MD,4426.0,0.8,0.36666666666666664,0.4333333333333334
random,D6MS,6864.0,1.0,1.0,0.0
random,D10MS,8326.0,1.0,1.0,0.0
random,D6MS,3687.0,0.7666666666666667,1.0,-0.23333333333333328
random,D10MS,6773.0,1.0,1.0,0.0
random,D10MS,2565.0,1.0,1.0,0.0
random,D2MS,5951.0,0.4,1.0,-0.6
random,D11MD,249.0,1.0,0.9,0.09999999999999998
random,D10MS,3439.0,0.16666666666666666,0.5,-0.33333333333333337
random,D4MD,990.0,0.6333333333333333,0.9666666666666667,-0.33333333333333337
random,D2MD,1205.0,0.7666666666666667,0.0,0.7666666666666667
random,D9MD,6039.0,0.9333333333333333,0.6333333333333333,0.30000000000000004
random,D4MS,615.0,1.0,1.0,0.0
random,D6MS,4749.0,1.0,1.0,0.0
random,D1MS,1319.0,0.1,0.5,-0.4
random,D10MS,1257.0,0.7333333333333333,0.1,0.6333333333333333
random,D11MS,3970.0,1.0,1.0,0.0
random,D10MS,8775.0,1.0,0.3333333333333333,0.6666666666666667
