B_id,_blD,_blS,_wrD,_wrS
D1,0.2857142857142857,0.4222222222222222,0.9,0.7666666666666667
D2,0.7888888888888891,0.5,0.6916666666666667,1.0555555555555556
D3,0.5208333333333333,0.9888888888888889,0.43333333333333335,1.1583333333333334
D4,0.6777777777777777,,1.3416666666666668,0.4666666666666667
D5,0.7999999999999999,0.6666666666666667,2.3666666666666667,4.15
D6,0.4,0.4,0.7066666666666667,
D7,0.7555555555555555,0.6,2.566666666666667,0.7714285714285714
D8,0.9416666666666667,0.3466666666666666,2.077777777777778,2.6833333333333336
D9,0.4666666666666667,0.5555555555555556,0.38666666666666666,1.2666666666666666
D10,0.35,,,0.525
D11,0.7666666666666666,0.35555555555555557,0.8222222222222223,5.516666666666667
