B_id,_blD,_blS,_wrD,_wrS
D1,100.0,0.0,14.285714285714286,85.71428571428571
D2,0.0,100.0,20.0,80.0
D3,50.0,50.0,66.66666666666667,33.333333333333336
D4,,,36.36363636363637,63.63636363636363
D5,0.0,100.0,83.33333333333333,16.666666666666668
D6,,,28.571428571428573,71.42857142857143
D7,,,55.55555555555556,44.44444444444444
D8,50.0,50.0,62.5,37.5
D9,,,44.44444444444444,55.55555555555556
D10,,,80.0,20.0
D11,,,54.54545454545455,45.45454545454545
