metric,real,random,difference,p_value
Mean,0.672463768115942,0.03596666666666667,0.6364971014492753,0.000999000999000999
Median,0.8666666666666667,0.0,0.8666666666666667,0.000999000999000999
Std,0.36244635437311506,0.4980280659204303,,
N,23.0,1000.0,,
