variable,total_sum
E_to_nest_with_partner_pD,6.0
E_to_nest_with_partner_pS,7.0
E_to_nest_without_partner_pD,22.0
E_to_nest_without_partner_pS,32.0
E_not_to_nest_pD,4.0
E_not_to_nest_pS,3.0
