B_id,in_nest_duration_blD,out_nest_duration_blD,in_nest_duration_blS,out_nest_duration_blS,in_nest_duration_plD,out_nest_duration_plD,in_nest_duration_plS,out_nest_duration_plS
B1,0.0029777777777777775,0.0011696969696969694,0.0,0.0009757575757575759,0.0,0.0017424242424242426,0.007111111111111111,0.0011515151515151516
B2,0.005555555555555556,0.0,0.017333333333333336,0.0,0.002333333333333333,0.001484848484848485,0.010037037037037039,8.080808080808092e-05
B3,0.003955555555555556,0.0013636363636363633,0.006933333333333334,0.0006363636363636362,0.006555555555555555,0.000693181818181818,0.029185185185185182,0.0009545454545454543
B4,0.0036000000000000003,0.0007696969696969697,0.008533333333333334,0.0005030303030303028,0.0038888888888888883,0.0009204545454545454,0.00048148148148148155,0.001414141414141414
B5,0.007688888888888889,0.0008060606060606059,0.0028000000000000004,0.00038787878787878785,0.0054444444444444445,0.0002992424242424244,0.004592592592592592,0.00035858585858585863
B6,0.003688888888888889,0.0006787878787878789,0.00688888888888889,0.00033939393939393943,0.005066666666666666,0.0012121212121212121,0.0037222222222222223,0.0005454545454545454
B7,0.005911111111111112,0.001084848484848485,0.009555555555555555,0.0007272727272727277,0.0072592592592592604,0.0012373737373737373,0.005977777777777778,0.0012030303030303032
B8,0.0011111111111111111,0.0008787878787878789,0.0012888888888888887,0.0013212121212121215,0.006194444444444444,0.0015454545454545456,0.0023703703703703703,0.0022373737373737376
B9,0.0006222222222222223,0.0004727272727272727,0.0016888888888888886,0.00017575757575757578,0.02203703703703704,0.0008737373737373735,0.0,0.0009431818181818183
B10,0.003288888888888889,0.0014303030303030304,0.0011111111111111111,0.0009151515151515151,0.0020634920634920633,0.0008593073593073593,0.0026296296296296293,0.0008535353535353535
B11,0.0033777777777777773,0.0007393939393939396,0.0012,0.0008606060606060606,0.00015555555555555556,9.393939393939393e-05,0.0008749999999999998,0.0014242424242424244
B12,0.0,0.0031878787878787877,0.0,0.0018727272727272724,0.0,0.00029166666666666664,0.0017962962962962963,0.0012601010101010103
B13,0.0,0.0018121212121212117,0.0002666666666666667,0.0015454545454545458,0.002037037037037037,0.0007575757575757575,0.0035185185185185185,0.004505050505050505
B14,0.0019111111111111108,3.63636363636364e-05,0.0040888888888888884,0.0011212121212121214,0.0020555555555555557,0.0,0.015796296296296298,0.00027020202020202006
B15,0.0019111111111111113,0.0008363636363636361,0.002088888888888889,0.0005575757575757577,0.0038148148148148147,0.000494949494949495,0.0033333333333333335,0.0006174242424242425
B16,4.444444444444444e-05,0.0003030303030303031,0.0,0.0006424242424242425,0.0013333333333333335,0.0007757575757575757,0.0019333333333333331,0.0008878787878787878
B17,0.0022222222222222222,0.000890909090909091,0.0012,0.0011454545454545454,0.004796296296296296,0.0011767676767676766,0.0035714285714285713,0.00047835497835497815
B18,0.0004444444444444444,0.0005030303030303029,0.0004888888888888889,0.0011090909090909092,0.0004444444444444444,0.001106060606060606,0.002,0.0009848484848484847
B19,0.007466666666666666,0.0013696969696969695,0.006666666666666667,0.0008303030303030303,0.0076296296296296294,3.0303030303030397e-05,0.006603174603174602,0.0007294372294372296
B20,0.005066666666666666,0.0004242424242424242,0.0048,0.0006000000000000002,0.0017777777777777776,0.0009343434343434345,0.0027460317460317454,0.0007987012987012989
