B_id,_blD,_blS,_plD,_plS
B1,1.714285714285714,1.1666666666666667,1.277777777777778,1.6666666666666667
B2,1.5999999999999999,4.377777777777778,5.266666666666667,5.233333333333333
B3,1.4814814814814814,1.6444444444444446,0.6899305555555556,3.5133333333333336
B4,0.9222222222222223,1.162962962962963,0.9738888888888889,1.7583333333333335
B5,1.0333333333333332,0.42333333333333334,0.6045833333333334,0.7083333333333334
B6,0.95,0.7814814814814816,0.9817777777777777,0.8472222222222223
B7,0.9969696969696972,1.0727272727272728,1.0129629629629628,1.2846666666666666
B8,1.4166666666666665,1.627777777777778,1.4034722222222222,1.1833333333333333
B9,0.6266666666666667,0.7444444444444445,2.6587962962962965,0.9416666666666667
B10,1.006060606060606,1.0055555555555555,1.1630952380952382,0.8533333333333334
B11,1.1555555555555557,0.7291666666666666,0.4083333333333333,1.653809523809524
B12,3.8,1.4125,0.6416666666666667,2.1259259259259258
B13,1.3541666666666665,1.6055555555555554,0.6980555555555555,2.973148148148148
B14,0.8166666666666667,1.8466666666666665,0.6166666666666667,3.0533333333333337
B15,1.783333333333333,0.6875,1.020138888888889,1.0069444444444446
B16,0.5666666666666668,0.8833333333333334,0.7544444444444445,1.3805555555555555
B17,1.3133333333333332,1.56,1.8875000000000002,1.1964285714285712
B18,0.86,1.077777777777778,0.907037037037037,1.568148148148148
B19,1.3484848484848486,0.7972222222222222,1.222222222222222,1.508888888888889
B20,0.8761904761904763,1.4466666666666665,1.0816666666666666,2.0722222222222224
