B_id,_blD,_blS,_wrD,_wrS
D1,0.44943820224719094,0.0,3.674157303370787,15.696629213483144
D2,0.0,0.5393258426966293,0.25842696629213485,7.303370786516853
D3,0.39325842696629215,0.24719101123595505,3.0,7.202247191011237
D4,0.0,0.0,3.3595505617977537,16.179775280898873
D5,0.0,0.7078651685393259,24.808988764044948,4.662921348314606
D6,0.0,0.0,1.8988764044943818,5.898876404494382
D7,0.0,0.0,3.112359550561798,2.0786516853932584
D8,0.2134831460674157,0.3595505617977528,7.955056179775282,8.426966292134832
D9,0.0,0.0,4.842696629213483,12.280898876404498
D10,0.0,0.0,2.629213483146067,1.1123595505617976
D11,0.0,0.0,8.606741573033707,29.303370786516858
