B_id,avg_sniffing_duration_bl_sD,avg_sniffing_duration_bl_sS,avg_sniffing_duration_bl_pD,avg_sniffing_duration_bl_pS,avg_sniffing_duration_wr_sD,avg_sniffing_duration_wr_sS,avg_sniffing_duration_wr_pD,avg_sniffing_duration_wr_pS
D1,0.6178743961352657,0.7699633699633699,0.6182539682539683,0.5178082191780822,0.5964912280701755,0.9208333333333334,0.6619047619047619,0.7458333333333333
D2,0.5472463768115942,0.6293729372937295,0.5122807017543859,0.6230769230769231,0.48039215686274517,0.675,0.4866666666666667,1.0925925925925926
D3,1.2041666666666666,0.8076086956521739,0.5607142857142857,0.6750000000000002,0.7851851851851852,0.5588235294117647,1.0066666666666666,0.769047619047619
D4,0.9074074074074076,0.7699999999999999,0.665843621399177,0.7744791666666668,1.0314814814814814,0.5518518518518518,0.5525641025641026,0.5422222222222222
D5,1.0627450980392157,0.7150406504065041,0.5090909090909091,0.5988700564971752,0.8253333333333334,0.4729166666666667,0.5222222222222223,0.548148148148148
D6,1.363522012578616,0.8094202898550726,1.0020833333333332,0.8226666666666667,0.9076923076923075,0.6015873015873017,0.7944444444444444,0.7296296296296296
D7,0.6523809523809524,0.9050179211469535,0.6951515151515153,0.776470588235294,0.6238095238095239,0.43555555555555553,0.7916666666666666,0.49333333333333335
D8,0.4654166666666667,0.8679012345679014,0.6300546448087432,0.6894308943089431,1.0380952380952382,0.911111111111111,0.7063492063492064,0.7368421052631579
D9,0.7591954022988505,0.7098666666666666,0.6661111111111112,0.606,0.7650793650793652,0.6545454545454545,0.9590909090909091,0.7583333333333333
D10,0.8168350168350168,0.83003300330033,0.6375438596491229,0.5769444444444445,0.708974358974359,0.656140350877193,0.5950617283950618,0.48
D11,0.8946236559139785,1.0765624999999999,0.843452380952381,0.6383333333333333,0.6045454545454545,0.8666666666666666,0.6444444444444444,0.5366666666666666
