,sD_1,sD_2,sD_3,sD_4,sD_5,sD_6,sD_7,sD_8,sD_9,sD_10,sD_11,sD_12,sD_13,sD_14,sD_15,sD_16,sD_17,sD_18,sD_19,sD_20,sS_1,sS_2,sS_3,sS_4,sS_5,sS_6,sS_7,sS_8,sS_9,sS_10,sS_11,sS_12,sS_13,sS_14,sS_15,sS_16,sS_17,sS_18,sS_19,sS_20,pD_1,pD_2,pD_3,pD_4,pD_5,pD_6,pD_7,pD_8,pD_9,pD_10,pD_11,pD_12,pD_13,pD_14,pD_15,pD_16,pD_17,pD_18,pD_19,pD_20,pS_1,pS_2,pS_3,pS_4,pS_5,pS_6,pS_7,pS_8,pS_9,pS_10,pS_11,pS_12,pS_13,pS_14,pS_15,pS_16,pS_17,pS_18,pS_19,pS_20
baseline,5.2,4.044444444444444,0.2222222222222222,5.266666666666667,9.422222222222222,1.2666666666666666,8.288888888888888,11.333333333333332,11.733333333333334,5.066666666666666,3.4444444444444438,32.844444444444434,14.888888888888891,2.4444444444444446,22.08888888888888,2.8888888888888893,12.066666666666666,13.644444444444442,1.288888888888889,3.3999999999999995,1.3777777777777775,4.777777777777778,2.3777777777777778,4.333333333333334,2.0444444444444443,5.51111111111111,2.111111111111111,2.7999999999999994,6.71111111111111,4.266666666666666,5.822222222222223,30.955555555555552,34.93333333333333,6.755555555555556,3.155555555555556,2.733333333333333,19.91111111111111,33.711111111111116,14.533333333333335,17.22222222222222,22.533333333333335,32.48888888888888,5.488888888888888,3.3999999999999995,2.355555555555556,1.9333333333333333,4.48888888888889,3.5555555555555554,3.911111111111111,4.888888888888889,2.644444444444444,3.5777777777777784,29.822222222222226,7.066666666666667,1.8666666666666665,1.488888888888889,2.022222222222222,8.622222222222222,2.4222222222222216,8.044444444444448,4.866666666666667,7.5777777777777775,10.4,11.97777777777778,2.6,4.7333333333333325,2.955555555555555,3.5111111111111115,0.24444444444444444,3.355555555555555,16.488888888888887,8.444444444444445,24.111111111111107,14.022222222222222,6.0888888888888895,2.155555555555556,3.8666666666666667,2.622222222222222,7.999999999999999,10.933333333333332
0-5s,88.66666666666667,52.0,56.666666666666664,32.666666666666664,36.0,89.66666666666667,40.533333333333324,42.266666666666666,65.46666666666667,31.999999999999996,72.39999999999999,60.93333333333334,70.93333333333334,76.8,35.06666666666666,42.00000000000001,55.199999999999996,49.5,52.0,41.92592592592593,83.33333333333333,18.666666666666668,54.333333333333336,36.66666666666666,15.999999999999998,78.00000000000001,46.0,58.8,55.86666666666667,79.86666666666666,66.4,32.166666666666664,45.06666666666666,70.0,35.5,55.047619047619044,58.518518518518526,45.666666666666664,44.00000000000001,42.8,0.0,82.0,37.5,25.666666666666664,12.666666666666664,34.800000000000004,48.666666666666664,19.666666666666668,39.22222222222222,47.61904761904761,32.0,47.16666666666667,58.33333333333333,68.0,29.555555555555557,44.666666666666664,63.888888888888886,44.44444444444445,43.55555555555555,37.55555555555555,35.333333333333336,11.555555555555555,21.11111111111111,36.888888888888886,30.44444444444444,46.833333333333336,59.86666666666667,29.555555555555557,51.0,51.33333333333334,48.75,44.333333333333336,35.77777777777778,66.55555555555556,66.83333333333333,45.60000000000001,56.76190476190476,51.583333333333336,52.000000000000014,39.80952380952382
5-20s,10.444444444444446,34.0,0.0,1.0,8.222222222222223,39.666666666666664,5.688888888888888,3.822222222222223,36.53333333333333,2.222222222222222,35.955555555555556,35.06666666666668,42.755555555555546,59.42222222222221,19.044444444444448,11.523809523809522,18.488888888888894,30.333333333333336,6.148148148148148,18.34567901234568,55.33333333333332,0.7777777777777778,4.888888888888889,5.666666666666666,0.0,13.555555555555554,4.888888888888889,17.2,9.866666666666667,83.51111111111112,15.6,30.666666666666664,15.066666666666666,20.444444444444443,4.416666666666667,26.222222222222218,10.493827160493826,22.861111111111114,6.333333333333332,40.355555555555554,15.11111111111111,56.44444444444444,17.5,1.8333333333333333,9.555555555555555,4.311111111111112,16.962962962962965,8.38888888888889,7.222222222222221,18.666666666666668,14.62222222222222,10.500000000000002,42.51851851851852,75.55555555555557,8.592592592592592,10.800000000000002,17.333333333333336,16.296296296296298,1.3333333333333333,22.74074074074074,0.0,0.5185185185185185,1.925925925925926,9.185185185185187,2.222222222222222,25.944444444444436,21.688888888888886,21.25925925925926,3.888888888888889,9.111111111111112,10.0,17.777777777777775,6.148148148148148,13.851851851851855,30.333333333333336,1.6444444444444446,47.26984126984127,12.055555555555554,19.650793650793645,24.92063492063492
20-60s,3.3333333333333335,18.208333333333336,3.958333333333333,0.5416666666666667,11.124999999999998,15.666666666666668,11.216666666666669,8.616666666666667,21.349999999999998,2.2666666666666666,11.116666666666667,25.516666666666666,37.81666666666666,32.78333333333333,8.083333333333336,9.55952380952381,10.933333333333332,9.958333333333332,1.9444444444444444,8.314814814814813,1.916666666666667,3.916666666666667,3.874999999999999,2.291666666666666,0.0,6.749999999999999,6.4375,12.283333333333335,7.333333333333333,27.083333333333332,17.1,20.895833333333336,23.549999999999997,24.1875,8.208333333333332,16.452380952380953,21.435185185185183,19.635416666666668,3.958333333333333,48.14999999999999,7.999999999999999,1.6666666666666667,2.0,0.8958333333333334,3.4375000000000004,1.5333333333333332,7.333333333333333,5.791666666666666,12.41666666666667,14.166666666666666,6.966666666666667,14.8125,29.847222222222218,35.541666666666664,4.958333333333333,1.2999999999999998,5.208333333333334,10.319444444444445,4.444444444444445,7.638888888888889,3.4166666666666665,13.666666666666668,1.7777777777777777,22.52777777777778,4.416666666666667,7.6875,7.716666666666668,8.277777777777779,3.3333333333333335,6.749999999999999,6.468750000000001,19.180555555555554,10.541666666666668,8.430555555555555,19.89583333333333,5.483333333333333,22.833333333333332,11.072916666666668,4.940476190476191,9.630952380952381
