B_id,_blD,_blS,_wrD,_wrS
D1,0.20224719101123595,0.0,0.20224719101123595,1.2134831460674156
D2,0.0,0.20224719101123595,0.20224719101123595,0.8089887640449438
D3,0.20224719101123595,0.20224719101123595,1.2134831460674156,0.6067415730337078
D4,0.0,0.0,0.8089887640449438,1.4157303370786518
D5,0.0,0.20224719101123595,2.02247191011236,0.8089887640449438
D6,0.0,0.0,0.4044943820224719,1.2134831460674156
D7,0.0,0.0,1.01123595505618,0.8089887640449438
D8,0.20224719101123595,0.20224719101123595,2.02247191011236,1.6179775280898876
D9,0.0,0.0,0.8089887640449438,1.01123595505618
D10,0.0,0.0,0.8089887640449438,0.20224719101123595
D11,0.0,0.0,1.2134831460674156,1.01123595505618
