B_id,nest_D,nest_S,edge_D,edge_S,center_D,center_S
B1,-4.922782481382547,,,-3.8765150531537578,,-4.679371595208066
B2,1.3407852131309657,,-0.8033732560503202,3.374884316519175,-5.02574160956094,-0.8052951491291722
B3,-6.522178757406782,,,0.29134094689630263,-5.003326455579743,0.323854577287257
B4,,,0.2050611105439879,2.198766951319092,-2.7660003538122675,-5.562298581455153
B5,,,-1.7213165191657405,1.4607073191330375,4.9714560665316245,1.3321396272956996
B6,3.007654049652002,1.3245928202560329,-1.6587994640312376,-1.412229390707978,-29.421668935072066,-12.06876743965068
B7,-10.684076896319503,,-0.26256061609924064,0.22137512886567468,-6.733380096269436,-1.7324922733400214
B8,,0.34644962695467374,3.893703802220113,-18.201610297705578,-2.5997402884096292,-3.5035861767173238
B9,9.983539566012476,3.231972689466538,0.19315880170376332,-19.568132751346507,-3.7920068231050035,-10.94636104633762
B10,3.1403111112112807,0.5917164395302059,4.540822302989654,-44.180259880804,-5.524972257893795,-19.161011903818466
B11,-0.5485592665850394,-2.07667747801868,,-1.7390103862144715,-23.16413648034024,6.048194867760465
B12,,,5.47778547672858,1.4531557120499734,9.030778396598967,-1.4204906675024915
B13,,,12.48514105422208,-4.262933193124723,1.829447330244987,-2.178092691452136
B14,7.2437963292141285,3.8301457393883247,-58.21400938515294,-0.13896894290018125,-20.198526524934167,-1.0993964454557403
B15,1.6381358427747923,1.146666068650676,,-16.929876048162228,-11.408057294751387,-13.85962204214343
B16,-1.4732817375712077,5.74342225999328,-8.722154406474111,,-9.439402593825687,-19.60658000744551
B17,1.4408012822969534,1.4034120612008234,3.823506835646138,-37.09626209650597,-0.035346518813542005,-21.27273378982794
B18,,-7.4738293235486175,3.519308617162796,2.0756890950350995,0.4494441126046933,6.551926427343316
B19,0.17088390711712265,,-2.010889736014704,,-7.080372347167337,-5.436256795028845
B20,2.2994015243251233,4.440668771181558,2.2156140432094764,-0.10267435547676484,-21.143869233886086,-24.102105050585116
