behavior,single_Dom,single_Sub,pair_Dom,pair_Sub
E,44.9438202247191,46.590909090909086,27.058823529411764,31.25
F+E,11.235955056179774,7.954545454545454,9.411764705882353,8.333333333333332
F,33.70786516853933,36.36363636363637,38.82352941176471,38.54166666666667
I,10.112359550561797,9.090909090909092,24.705882352941178,21.875
