B_id,_blD,_blS,_wrD,_wrS
D1,1.1365079365079365,0.737037037037037,2.3047619047619046,5.926666666666667
D2,0.6066666666666667,0.9949999999999999,1.1424242424242426,2.1399999999999997
D3,0.8733333333333334,1.5690476190476186,1.629824561403509,2.778571428571429
D4,0.7986111111111112,0.9533333333333334,2.1750000000000003,6.253333333333333
D5,0.5604166666666667,0.6172839506172839,6.02,3.080952380952381
D6,1.4487179487179487,0.7727272727272727,1.363333333333333,2.0261904761904765
D7,1.0706666666666669,1.1783333333333332,1.5999999999999999,0.9228070175438595
D8,0.9166666666666666,1.055072463768116,2.2666666666666666,1.7766666666666668
D9,0.8474358974358975,0.5869047619047619,1.5479166666666666,3.4692307692307693
D10,0.3638888888888889,0.8066666666666668,1.8033333333333332,0.8825396825396824
D11,0.6833333333333335,0.8884057971014493,1.7873015873015872,9.493333333333334
