,sD_1,sD_2,sD_3,sD_4,sD_5,sD_6,sD_7,sD_8,sD_9,sD_10,sD_11,sS_1,sS_2,sS_3,sS_4,sS_5,sS_6,sS_7,sS_8,sS_9,sS_10,sS_11,pD_1,pD_2,pD_3,pD_4,pD_5,pD_6,pD_7,pD_8,pD_9,pD_10,pD_11,pS_1,pS_2,pS_3,pS_4,pS_5,pS_6,pS_7,pS_8,pS_9,pS_10,pS_11
1min,17.944444444444443,43.83333333333333,33.166666666666664,58.111111111111114,23.555555555555554,9.833333333333334,33.94444444444444,0.0,6.666666666666667,20.999999999999996,9.000000000000002,4.277777777777779,33.5,21.833333333333332,9.88888888888889,0.0,0.0,0.0,21.777777777777775,20.38888888888889,0.0,18.27777777777778,4.500000000000001,18.38888888888889,35.833333333333336,22.666666666666664,13.055555555555557,30.388888888888893,57.22222222222222,41.611111111111114,17.5,33.111111111111114,19.944444444444446,3.7777777777777777,35.666666666666664,0.0,29.61111111111111,16.055555555555554,17.0,21.055555555555554,43.222222222222214,0.0,23.722222222222218,0.0
2min,3.111111111111111,70.44444444444446,24.444444444444443,57.6111111111111,8.055555555555555,8.777777777777777,0.0,0.0,29.944444444444446,61.66666666666667,40.0,33.33333333333333,32.77777777777777,0.8333333333333334,5.888888888888888,0.0,0.0,14.222222222222221,5.222222222222221,14.333333333333334,8.611111111111109,0.0,23.44444444444445,44.33333333333333,49.00000000000001,32.22222222222222,36.55555555555556,22.833333333333332,36.222222222222214,30.33333333333334,12.666666666666664,47.38888888888889,53.05555555555556,9.11111111111111,31.833333333333336,22.166666666666664,33.666666666666664,15.611111111111112,34.22222222222222,29.555555555555557,37.66666666666667,15.055555555555555,12.38888888888889,7.111111111111111
3min,16.0,28.611111111111114,32.777777777777786,2.8888888888888893,33.77777777777778,50.0,28.833333333333332,9.555555555555555,19.27777777777778,7.000000000000001,65.38888888888889,35.77777777777778,45.88888888888889,26.666666666666668,20.72222222222222,4.777777777777778,33.666666666666664,27.55555555555555,21.333333333333336,27.500000000000004,26.222222222222218,0.0,14.000000000000002,26.833333333333332,36.22222222222222,22.722222222222225,14.833333333333334,52.33333333333333,63.33333333333333,36.833333333333336,26.999999999999996,51.22222222222222,34.94444444444445,16.555555555555557,57.94444444444444,13.833333333333334,28.222222222222214,23.555555555555554,35.611111111111114,15.388888888888888,19.444444444444446,18.166666666666668,14.444444444444446,13.166666666666668
4min,27.500000000000004,39.22222222222222,30.833333333333336,31.166666666666664,12.11111111111111,1.5000000000000002,56.77777777777777,9.61111111111111,0.0,78.44444444444446,19.0,21.61111111111111,13.666666666666666,23.333333333333336,8.5,19.055555555555554,42.55555555555555,18.944444444444443,24.444444444444443,26.444444444444443,7.000000000000001,31.055555555555546,29.44444444444444,48.333333333333336,56.44444444444444,8.222222222222223,17.555555555555557,51.72222222222223,44.5,19.499999999999996,8.444444444444445,67.05555555555556,56.27777777777777,9.277777777777779,75.3888888888889,36.77777777777778,44.666666666666664,17.777777777777775,36.16666666666666,15.388888888888891,20.0,25.55555555555556,27.166666666666668,7.833333333333334
5min,9.352391035821423,17.881301099935296,44.87971295806128,25.174989706487853,13.116875477913064,5.9996470795835535,23.057467207811307,13.528615963766837,12.587494853243927,58.46714899123581,44.232692194576785,19.41062290453503,42.997470737015476,23.88094817951885,0.0,25.88083053938004,30.704076230809953,23.645667901888125,2.9410034703840946,22.469266513734482,15.528498323628023,12.058114228574789,7.293688606552556,29.057114287394853,41.64460914063879,16.057878948297162,10.352332215752014,19.469442973942712,45.58555379095347,8.705370272336921,14.352096935474382,63.408034821481095,5.411446385506736,0.0,65.52555732015762,14.763837421328155,75.64260925827892,11.469913534497971,2.941003470384095,8.99947061937533,24.645609081818716,2.6469031233456857,18.88124227986589,0.0
