category,count
natural_end_D,145
natural_end_S,164
partner_AP_offset_D,2
partner_AP_offset_S,2
partner_SP_onset_D,4
partner_SP_onset_S,3
co_freezing_D,2
co_freezing_S,1
all_freezing_D,152
all_freezing_S,168
