D_id,rank,near_pct,middle_pct,far_pct
D1,MD,0.008926342072409487,0.03589263420724095,0.34943820224719097
D2,MD,0.08536204744069913,0.08470661672908865,0.16156367041198502
D3,MD,0.031897627965043696,0.050093632958801496,0.2936797752808989
D4,MD,0.06747815230961299,0.036235955056179776,0.26109550561797756
D5,MD,0.002278401997503121,0.03311485642946318,0.3635767790262172
D6,MD,0.02063046192259675,0.035799001248439453,0.3320224719101123
D7,MD,0.02063046192259675,0.03735955056179775,0.32968164794007493
D8,MD,0.007459425717852685,0.016354556803995005,0.3809456928838951
D9,MD,0.005024968789013733,0.019912609238451933,0.37926029962546814
D10,MD,0.11395131086142321,0.05090511860174782,0.16938202247191012
D11,MD,0.06307740324594256,0.03455056179775281,0.27022471910112356
D1,MS,0.009363295880149813,0.06495006242197253,0.3051966292134832
D2,MS,0.02546816479400749,0.049719101123595504,0.30388576779026216
D3,MS,0.011142322097378277,0.03408239700374532,0.34882958801498126
D4,MS,0.002559300873907616,0.019007490636704122,0.3818820224719101
D5,MS,0.006367041198501872,0.010923845193508116,0.3907303370786517
D6,MS,0.00867665418227216,0.04316479400749064,0.33890449438202247
D7,MS,0.004744069912609239,0.02415730337078652,0.36250000000000004
D8,MS,0.005898876404494383,0.02209737827715356,0.3746722846441948
D9,MS,0.010299625468164795,0.04906367041198502,0.3276217228464419
D10,MS,0.0059925093632958795,0.013701622971285894,0.387125468164794
D11,MS,0.012890137328339577,0.02100499375780275,0.36582397003745315
