B_id,_blD,_blS,_wrD,_wrS
D1,8.044943820224718,4.4719101123595495,5.438202247191011,19.977528089887638
D2,4.089887640449438,6.707865168539325,8.471910112359552,10.820224719101123
D3,5.8876404494382015,14.808988764044942,10.43820224719101,13.1123595505618
D4,6.4606741573033695,3.2134831460674156,8.797752808988763,21.07865168539326
D5,3.022471910112359,5.617977528089887,30.43820224719101,7.269662921348314
D6,6.348314606741572,2.8651685393258424,4.595505617977528,9.56179775280899
D7,9.02247191011236,7.943820224719101,9.707865168539326,5.910112359550561
D8,8.03370786516854,8.179775280898875,12.224719101123595,11.977528089887638
D9,7.426966292134832,5.539325842696627,8.348314606741571,15.202247191011237
D10,1.4719101123595504,6.797752808988765,6.0786516853932575,6.247191011235953
D11,5.067415730337079,6.887640449438202,12.651685393258424,32.0
