B_id,_blD,_blS,_wrD,_wrS
D1,10.344827586206897,24.137931034482758,8.333333333333334,33.333333333333336
D2,2.9411764705882355,8.823529411764707,10.714285714285714,14.285714285714286
D3,8.108108108108109,21.62162162162162,14.285714285714286,3.5714285714285716
D4,0.0,10.344827586206897,12.5,25.0
D5,11.764705882352942,8.823529411764707,25.0,12.5
D6,5.0,5.0,0.0,26.31578947368421
D7,8.333333333333334,16.666666666666668,24.137931034482758,3.4482758620689653
D8,13.157894736842104,10.526315789473685,16.0,12.0
D9,7.142857142857143,11.904761904761905,4.3478260869565215,21.73913043478261
D10,0.0,6.896551724137931,14.814814814814815,0.0
D11,8.823529411764707,5.882352941176471,16.666666666666668,12.5
