x_index,y_index,time_pct,speed_avg,vx,vy
0,0,0.07513109079980931,1.7785906340242423,-0.30856137931034516,0.22378551724137907
1,0,0.4430143629919791,1.7277875797546756,0.13583031578947363,-0.08888701754385987
2,0,1.0865510166013803,2.1500341753897056,0.10196443490701,0.0686194563662376
3,0,0.6191838172811871,4.071284831765204,0.3611454979079498,0.03200108786610869
4,0,0.7450931625525917,3.6915264104878913,-0.014173226703754729,0.15359311543810844
5,0,0.7222947625857531,3.4122184849413655,-0.21174791965566714,0.14638364418938327
6,0,0.590167671868847,4.193072327650349,-0.30707673397717317,0.1896703248463568
7,0,0.42954258119339256,4.875690570559856,-1.0418761158021714,0.04597418576598301
8,0,0.7026052353416652,3.0761122004686987,-0.610847345132744,-0.0010776548672566813
9,0,1.7140251611432362,1.7777523039471699,-0.33970828295042305,0.0688431983071344
10,0,5.95970900951315,1.1132286238545261,-0.09074517475221726,0.0005388888888888871
11,0,2.0974527969491596,1.0829203128960918,-0.035567934782609174,0.07259948122529623
0,1,0.09222989077493833,1.9449006418274106,0.14163539325842708,0.36499719101123584
1,1,0.2160666542311758,2.2428106073832006,0.0035212230215828054,-0.1514776978417266
2,1,0.8264419987979025,2.359234520887406,0.04839226457680227,-0.012108150470219584
3,1,0.5481978901117122,3.64078022525541,-0.47609671077504684,0.19808449905482067
4,1,0.39638127215071817,4.700854314663482,-0.362840784313725,-0.042700784313725364
5,1,0.5834317809695537,3.5789791946654295,-0.17866225577264636,0.16301349911190058
6,1,0.4248792721092665,5.378895965442435,0.041345487804877845,0.35048304878048775
7,1,0.41451636303343076,5.771750507207306,0.24938662500000094,0.7212967499999996
8,1,0.6103753445667268,4.297616866231709,-0.07723089983022087,0.3024160441426146
9,1,1.0580530166428321,3.022357573180695,-0.22920323212536722,0.1008086679725761
10,1,11.802835291923149,1.0661860758378998,-0.035712761754247424,0.005477979718161441
11,1,12.011647909801239,1.0016324424070862,-0.06416301440773012,-0.06024786040893842
0,2,1e-05,1e-05,1e-05,1e-05
1,2,0.10466538166594126,2.5073995030243297,0.0027865841584157947,0.15439455445544564
2,2,0.10984683620385914,3.8876442716490014,0.823204783018868,0.6923787735849062
3,2,0.18135090882712596,4.274938742256111,0.3531947142857145,0.15198514285714293
4,2,0.11554643619556883,6.8269497715944265,0.35732690582959664,0.6926421524663681
5,2,0.11813716346452775,6.4907381553135295,-0.5180605263157898,0.12353157894736853
6,2,0.13627225434724036,7.53583796936409,-0.28613954372623585,0.37784942965779483
7,2,0.09067545441356298,11.115239514250534,1.2243805714285725,2.5028931428571437
8,2,0.3383489813260378,3.6006067019617345,0.06708422664624837,0.5637128637059717
9,2,1.5254202159630252,1.488175371497422,0.13543614130434736,0.05398165760869556
10,2,1.6824182884619372,2.2843725920800884,0.18652202032645493,-0.08262057283646426
11,2,2.036311633401729,2.7961758205297578,0.04779694656488556,-0.2799081679389316
0,3,1e-05,1e-05,1e-05,1e-05
1,3,0.017616945428920807,11.60939905214556,0.6325199999999997,1.4387823529411774
2,3,0.10829239984248377,3.1090643326868137,0.40501245933014346,-0.16205598086124395
3,3,0.15855250886028727,4.213964382255958,0.9534967647058833,0.7391764705882351
4,3,0.07305850898464217,8.948771706724244,1.3192106382978717,-0.2865489361702126
5,3,0.06839519990051607,11.337875030634898,4.198906818181819,0.22112272727272586
6,3,0.06528632717776534,11.88307855550446,3.4467833333333338,0.6756285714285716
7,3,0.05751414537088852,13.096868863519708,2.527883783783783,1.95894054054054
8,3,0.05492341810192957,14.529916518578439,6.2600377358490595,2.2850518867924525
9,3,0.13212709071690604,7.6851897032210905,2.2029999999999985,-0.012824705882352554
10,3,1.378785052539949,2.0109909545751172,0.21834498308906394,-0.05120676437429552
11,3,1.459615743331468,3.093983711090921,0.03880830670926522,-0.21083237486687914
