metric,real,random,difference,p_value
Mean,0.34545454545454546,0.03596666666666667,0.3094878787878788,0.000999000999000999
Median,0.33333333333333337,0.0,0.33333333333333337,0.008991008991008992
Std,0.46470135819791697,0.4980280659204303,,
N,33.0,1000.0,,
