metric,real,random,difference,p_value
Mean,0.6238095238095239,0.030933333333333337,0.5928761904761906,0.000999000999000999
Median,0.8,0.0,0.8,0.000999000999000999
Std,0.3140691894826885,0.46005895274410213,,
N,7.0,1000.0,,
