B_id,_blD,_blS,_wrD,_wrS
D1,0.43333333333333335,0.0,0.5333333333333333,13.1
D2,0.0,0.3333333333333333,0.5666666666666667,22.0
D3,0.26666666666666666,3.2,13.033333333333335,20.46666666666667
D4,0.0,0.0,12.766666666666666,45.7
D5,0.0,1.0666666666666667,28.766666666666666,6.666666666666667
D6,0.0,0.0,1.4666666666666668,6.366666666666667
D7,0.0,0.0,6.800000000000001,4.133333333333333
D8,0.4666666666666667,0.43333333333333335,17.03333333333333,4.166666666666666
D9,0.0,0.0,10.4,40.93333333333334
D10,0.0,0.0,4.8,1.0333333333333334
D11,0.0,0.0,4.033333333333333,71.7
