category,count
natural_end_D,266
natural_end_S,392
partner_AP_offset_D,5
partner_AP_offset_S,17
partner_SP_onset_D,11
partner_SP_onset_S,22
co_freezing_D,139
co_freezing_S,147
all_freezing_D,414
all_freezing_S,563
